Sample name	Number of reads	Total length	Min read length	Max read length	N50	N75	AuN	Raw  num reads	% filtered
qc-host-removal/1593973_20180427_S_Run8barcode01.unmapped.fastq	"59,113"	"264,270,342"	"1,000"	"15,003"	"4,725"	"5,713"	"4,841"	"66,620"	88.73161213
qc-host-removal/1593973_20180504_S_Run3barcode03.unmapped.fastq	"221,589"	"823,367,415"	"1,001"	"16,489"	"3,866"	"4,114"	"3,879"	"243,171"	91.12476405
qc-host-removal/1598281_20180508_S_Run8barcode07.unmapped.fastq	"185,498"	"667,012,405"	"1,000"	"12,111"	"3,854"	"4,633"	"3,963"	"210,572"	88.09243394
qc-host-removal/1651490_20171010_S_Run5barcode01.unmapped.fastq	"84,195"	"235,889,587"	"1,000"	"10,589"	"2,949"	"3,485"	"3,035"	"244,294"	34.4646205
qc-host-removal/1651490_20180206_S_Run5barcode04.unmapped.fastq	"124,226"	"363,224,377"	"1,001"	"10,000"	"3,062"	"3,644"	"3,140"	"164,960"	75.30674103
qc-host-removal/1834617_20180501_S_Run9barcode08.unmapped.fastq	"190,421"	"671,196,424"	"1,000"	"13,830"	"3,687"	"4,370"	"3,788"	"224,620"	84.77473066
qc-host-removal/1845116_20180403_S_Run2barcode11.unmapped.fastq	"183,459"	"545,456,382"	"1,000"	"12,725"	"3,094"	"3,784"	"3,264"	"200,971"	91.28630499
qc-host-removal/623361_20180123_S_Run8barcode04.unmapped.fastq	"308,370"	"818,287,916"	"1,000"	"10,692"	"2,761"	"3,396"	"2,926"	"344,070"	89.62420438
qc-host-removal/639354_20171206_S_Run5barcode05.unmapped.fastq	"76,182"	"287,708,428"	"1,000"	"12,970"	"3,826"	"4,636"	"4,044"	"112,412"	67.7703448
qc-host-removal/642660_20180601_S_Run6barcode05.unmapped.fastq	"448,128"	"1,749,864,723"	"1,000"	"16,857"	"4,129"	"4,932"	"4,249"	"497,620"	90.05425827
qc-host-removal/650003_20180207_S_Run10barcode05.unmapped.fastq	"35,536"	"166,763,005"	"1,029"	"14,924"	"5,045"	"6,143"	"5,122"	"40,276"	88.23120469
qc-host-removal/658355_20171204_S_Run6barcode11.unmapped.fastq	"192,151"	"910,016,252"	"1,000"	"21,522"	"5,080"	"6,122"	"5,180"	"206,268"	93.15599123
qc-host-removal/658355_20180122_S_Run8barcode05.unmapped.fastq	"563,986"	"1,143,770,081"	"1,000"	"10,409"	"2,060"	"2,620"	"2,274"	"652,754"	86.40100252
