"","x"
"884","contig_12879"
"885","contig_12880"
"886","contig_12883"
"887","contig_12884"
"888","contig_12885"
"889","contig_12886"
"890","contig_12888"
"891","contig_12889"
"892","contig_12893"
"893","contig_12894"
"894","contig_12895"
"895","contig_12896"
"896","contig_12897"
"897","contig_12898"
"898","contig_12904"
"899","contig_12905"
"900","contig_12907"
"901","contig_12911"
"902","contig_12912"
"903","contig_12913"
"904","contig_12919"
"905","contig_12920"
"906","contig_12921"
"907","contig_12924"
"908","contig_12931"
"909","contig_12932"
"910","contig_1294"
"911","contig_12941"
"912","contig_12946"
"913","contig_12948"
"914","contig_12949"
"915","contig_12955"
"916","contig_12956"
"917","contig_12958"
"918","contig_12961"
"919","contig_1297"
"920","contig_12971"
"921","contig_12975"
"922","contig_12976"
"923","contig_12977"
"924","contig_12980"
"925","contig_12984"
"926","contig_12987"
"927","contig_12991"
"928","contig_12995"
"929","contig_130"
"930","contig_13001"
"931","contig_13003"
"932","contig_13008"
"933","contig_13011"
"934","contig_13017"
"935","contig_13020"
"936","contig_13031"
"937","contig_13039"
"938","contig_1304"
"939","contig_13040"
"940","contig_13041"
"941","contig_13045"
"942","contig_13046"
"943","contig_13054"
"944","contig_13056"
"945","contig_1306"
"946","contig_13070"
"947","contig_13077"
"948","contig_13078"
"949","contig_13079"
"950","contig_1308"
"951","contig_13080"
"952","contig_13081"
"953","contig_13086"
"954","contig_1309"
"955","contig_13093"
"956","contig_13095"
"957","contig_13102"
"958","contig_13107"
"959","contig_1311"
"960","contig_13112"
"961","contig_13122"
"962","contig_13123"
"963","contig_13124"
"964","contig_13128"
"965","contig_1313"
"966","contig_13132"
"967","contig_13138"
"968","contig_13139"
"969","contig_13140"
"970","contig_13142"
"971","contig_13144"
"972","contig_13145"
"973","contig_13149"
"974","contig_13150"
"975","contig_13152"
"976","contig_13156"
"977","contig_13167"
"978","contig_13168"
"979","contig_13170"
"980","contig_13173"
"981","contig_13175"
"982","contig_13179"
"983","contig_13183"
"984","contig_13184"
"985","contig_13192"
"986","contig_13196"
"987","contig_1320"
"988","contig_13201"
"989","contig_13202"
"990","contig_13203"
"991","contig_13206"
"992","contig_13214"
"993","contig_13220"
"994","contig_13225"
"995","contig_13228"
"996","contig_13231"
"997","contig_13232"
"998","contig_13233"
"999","contig_13234"
"1000","contig_13235"
"1001","contig_13236"
"1002","contig_1325"
"1003","contig_13252"
"1004","contig_13255"
"1005","contig_13259"
"1006","contig_13262"
"1007","contig_13264"
"1008","contig_13268"
"1009","contig_13269"
"1010","contig_13270"
"1011","contig_13273"
"1012","contig_13276"
"1013","contig_13277"
"1014","contig_13278"
"1015","contig_1328"
"1016","contig_13285"
"1017","contig_13286"
"1018","contig_13289"
"1019","contig_13290"
"1020","contig_13291"
"1021","contig_13292"
"1022","contig_13295"
"1023","contig_13298"
"1024","contig_13299"
"1025","contig_13300"
"1026","contig_13301"
"1027","contig_13302"
"1028","contig_13303"
"1029","contig_13304"
"1030","contig_13305"
"1031","contig_13307"
"1032","contig_13308"
"1033","contig_13310"
"1034","contig_13311"
"1035","contig_13315"
"1036","contig_13318"
"1037","contig_13322"
"1038","contig_13324"
"1039","contig_13330"
"1040","contig_13332"
"1041","contig_13333"
"1042","contig_13334"
"1043","contig_13335"
"1044","contig_13337"
"1045","contig_13339"
"1046","contig_13349"
"1047","contig_1335"
"1048","contig_13351"
"1049","contig_13353"
"1050","contig_1336"
"1051","contig_13360"
"1052","contig_13361"
"1053","contig_13365"
"1054","contig_1337"
"1055","contig_13372"
"1056","contig_13373"
"1057","contig_13374"
"1058","contig_1338"
"1059","contig_13382"
"1060","contig_13385"
"1061","contig_13387"
"1062","contig_13388"
"1063","contig_1340"
"1064","contig_13405"
"1065","contig_13407"
"1066","contig_13411"
"1067","contig_13414"
"1068","contig_13423"
"1069","contig_13429"
"1070","contig_13431"
"1071","contig_13434"
"1072","contig_13442"
"1073","contig_13445"
"1074","contig_13454"
"1075","contig_1346"
"1076","contig_13462"
"1077","contig_13464"
"1078","contig_13465"
"1079","contig_13467"
"1080","contig_13472"
"1081","contig_13474"
"1082","contig_13480"
"1083","contig_13483"
"1084","contig_13487"
"1085","contig_13488"
"1086","contig_13495"
"1087","contig_13496"
"1088","contig_13499"
"1089","contig_135"
"1090","contig_13500"
"1091","contig_13501"
"1092","contig_13504"
"1093","contig_13505"
"1094","contig_13506"
